Alignment_w_Promulgation_of_Command_Priorites,Any_issues,Average_Rating,Blanking_1_shown_data_don_t_show_this_data_i_e_blank,Cash,Cash_Awards_Bins,Cash_Bins,Cash_Provided,Critical_Thinking_Innovation,Deliver_Results,Employee_Lname_Fname,Employee_Salary,Engagement_Collaboration,Grade,HLR_Lname,ID,Leading_People_Leading_Change,Notes,Org,Overall_Rating,QSI,QSI_Approved,Rater_Lname,Series,Step,Supervisor_Employee,TOA,TOA_Bins,TOA_Provide,TOA_Range_Guidance,Technical_Competence,Total_Award,Within_Guidance,of_Annual_Salary_Cash_Award_Range_Guidance
5,No issues,5,1,,   $0   ,  0%  ,,5,5,MARK LAREAU,121506,5,15,RAY HENRY,0031H00001rEl1gQAC,,,SGS,Level 5 - Outstanding,Yes,Yes,STEVE LAROSE,0301,04,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3,Yes,4.1 - 4.5
5,Total Award too Low,4.2,1,1293, $1000-2000 , <1% ,0.98,3,3,FELISA LAREAU,131341,5,13,RAY HENRY,0031H00001rEl1hQAC,,Prorated 5 months,SGS,Level 3 - Fully Successful,No,,STEVE LAROSE,0301,09,Employee,,"  0 hours, (0%)  ",,0 - 40,5,0.98446,No,2.6 - 3.5
3,Total Award too Low,4.2,1,745,  <$1000  , <1% ,0.63,3,5,ELIJAH LAREAU,117516,5,13,RAY HENRY,0031H00001rEl1iQAC,,Prorated 5 months,SGS,Level 3 - Fully Successful,No,,STEVE LAROSE,0301,05,Employee,8," <10 hours, (<0.5%) ",0.4,0 - 40,5,1.03396,No,2.6 - 3.5
3,Total Award too Low,4.2,1,2735, $2000-3000 , 2-3% ,2.4,5,5,ROBERT T LAREAU,114059,3,13,RAY HENRY,0031H00001rEl1jQAC,,,SGS,Level 3 - Fully Successful,No,,STEVE LAROSE,0318,04,Employee,,"  0 hours, (0%)  ",,0 - 40,5,2.39788,No,2.6 - 3.5
3,Total Award too High,4.2,1,6037,>$5000,>4%,5.29,5,5,JOSEPH A LAROSE,114059,5,13,JOHNATHAN BATES,0031H00001rEl1mQAC,3,,STI,Level 3 - Fully Successful,No,,JAMES LAROSE,0301,04,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,5.29287,No,2.6 - 3.5
5,Total Award too High,5,1,7134,>$5000,>4%,6.45,5,5,PAUL LAROSE,110603,5,13,JOHNATHAN BATES,0031H00001rEl1pQAC,5,exception over 4.5%,STI,Level 5 - Outstanding,No,,JAMES LAROSE,0343,03,Supervisor,40,"40 hours, (2%)",2,0 - 40,,8.4501,No,4.1 - 4.5
5,Total Award too High,5,1,6984,>$5000,>4%,6.31,5,5,HAROLD HOBGOOD,110603,5,13,JOHNATHAN BATES,0031H00001rEklRQAS,5,Former GTO ,STI,Level 5 - Outstanding,No,,JAMES LAROSE,1301,03,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,6.31448,No,4.1 - 4.5
3,No issues,3,1,,   $0   ,  0%  ,,3,3,ANN LAROSE,110603,3,13,JOHNATHAN BATES,0031H00001rEl1nQAC,,,STI,Level 3 - Fully Successful,No,,JERED LIBROJO,0801,03,Employee,20,"20-30 hours, (1-1.5%)",1,0 - 20,3,1,Yes,0.0 - 1.0
5,Total Award too High,4.6,1,4435, $4000-5000 ,>4%,4.92,3,5,ED LAROSE,90106,5,12,JOHNATHAN BATES,0031H00001rEl1oQAC,,,STI,Level 5 - Outstanding,No,,JERED LIBROJO,0343,02,Employee,24,"20-30 hours, (1-1.5%)",1.2,0 - 40,5,6.12198,No,3.6 - 4.0
5,Total Award too High,4.6,1,6371,>$5000,>4%,8.76,3,5,Lauren Boyle*,72750,5,11,JOHNATHAN BATES,0031H00001rD1cKQAS,,Former GTO ,STI,Level 5 - Outstanding,No,,JERED LIBROJO,0801,01,Employee,,"  0 hours, (0%)  ",,0 - 40,5,8.75739,No,3.6 - 4.0
3,Total Award too High,3.8,1,3185, $3000-4000 ,>4%,4.07,5,3,MACK COATH,78167,5,09,JOHNATHAN BATES,0031H00001rEklQQAS,,,STI,Level 3 - Fully Successful,No,,JERED LIBROJO,0801,10,Employee,10,"10-20 hours, (0.5-1%)",0.5,0 - 40,3,4.57461,No,1.6 - 2.5
5,Total Award too Low,4.6,1,6208,>$5000, 3-4% ,3.6,5,3,RICHARD MORRIS,172500,5,15,JOHNATHAN BATES,0031H00001rEklSQAS,,,STI,Level 5 - Outstanding,No,,JERED LIBROJO,1301,07,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.59884,No,3.6 - 4.0
5,No issues,3.8,1,895,  <$1000  , <1% ,0.56,3,3,MATONDO TANDU,158541,3,15,JOHNATHAN BATES,0031H00001rEklTQAS,,Former GTO ,STI,Level 3 - Fully Successful,No,,JERED LIBROJO,0801,04,Employee,38,"30-40 hours, (1.5-2%)",1.9,0 - 40,5,2.46452,Yes,1.6 - 2.5
3,No issues,3,1,1470, $1000-2000 , <1% ,0.95,3,3,JONATHAN ACKISS,155202,3,14,JOHNATHAN BATES,0031H00001rEklUQAS,,,STI,Level 3 - Fully Successful,No,,JERED LIBROJO,0801,09,Employee,,"  0 hours, (0%)  ",,0 - 20,3,0.94715,Yes,0.0 - 1.0
5,No issues,4.6,1,2850, $2000-3000 , 1-2% ,1.65,5,5,ZORN SLIMAN,172500,3,15,JOHNATHAN BATES,0031H00001rEklVQAS,,,STI,Level 5 - Outstanding,No,,JERED LIBROJO,0340,10,Employee,40,"40 hours, (2%)",2,0 - 40,5,3.65217,Yes,3.6 - 4.0
5,Total Award too Low,4.6,1,5700,>$5000, 3-4% ,3.6,3,5,DOMINIC BAKER,158541,5,15,JOHNATHAN BATES,0031H00001rEklWQAS,, ,STI,Level 5 - Outstanding,No,,JERED LIBROJO,1515,04,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.59528,No,3.6 - 4.0
5,No issues,3.8,1,1429, $1000-2000 , <1% ,0.9,3,5,RAYMOND CARPENTER,159286,3,14,JOHNATHAN BATES,0031H00001rEklXQAS,, ,STI,Level 3 - Fully Successful,No,,JERED LIBROJO,1515,10,Employee,15,"10-20 hours, (0.5-1%)",0.75,0 - 40,3,1.64713,Yes,1.6 - 2.5
5,Total Award too High,5,1,6248,>$5000, 3-4% ,3.92,5,5,BRENT COHEN,159286,5,14,JOHNATHAN BATES,0031H00001rEklZQAS,,exception over 4.5%,STI,Level 5 - Outstanding,No,,JERED LIBROJO,0343,10,Employee,40,"40 hours, (2%)",2,0 - 40,5,5.9225,No,4.1 - 4.5
3,Total Award too Low,4.6,1,5246,>$5000, 3-4% ,3.38,5,5,ERIC CICERO,155202,5,14,CHRISTOPHER LIGHT,0031H00001rEklYQAS,,,STI,Level 5 - Outstanding,No,,HAROLD VALENTINE,0801,09,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.38011,No,3.6 - 4.0
3,No issues,3.4,1,1347, $1000-2000 , <1% ,0.87,3,3,CLAYTON COLEMAN,155202,3,14,CHRISTOPHER LIGHT,0031H00001rEklaQAC,,Former GTO ,STI,Level 3 - Fully Successful,No,,HAROLD VALENTINE,0301,09,Employee,10,"10-20 hours, (0.5-1%)",0.5,0 - 30,5,1.3679,Yes,1.1 - 1.5
3,No issues,3,1,1278, $1000-2000 , <1% ,0.87,3,3,JOSH ELSTON,147034,3,14,CHRISTOPHER LIGHT,0031H00001rEklbQAC,,,STI,Level 3 - Fully Successful,No,,HAROLD VALENTINE,0801,07,Employee,,"  0 hours, (0%)  ",,0 - 20,3,0.86919,Yes,0.0 - 1.0
5,No issues,3.4,1,1209, $1000-2000 , <1% ,0.85,3,3,ROBERT ERSKINE,142950,3,14,CHRISTOPHER LIGHT,0031H00001rEklcQAC,,Former GTO ,STI,Level 3 - Fully Successful,No,,HAROLD VALENTINE,0801,06,Employee,10,"10-20 hours, (0.5-1%)",0.5,0 - 30,3,1.34575,Yes,1.1 - 1.5
5,No issues,5,1,,   $0   ,  0%  ,,5,5,SHANI LEBLANC,142950,5,14,CHRISTOPHER LIGHT,0031H00001rEkn1QAC,,Former GTO ,STI,Level 5 - Outstanding,Yes,Yes,HAROLD VALENTINE,0301,06,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3,Yes,4.1 - 4.5
5,Total Award too Low,4.6,1,2281, $2000-3000 , 1-2% ,1.6,3,5,EDIBERTO CASTROROCHIN,142950,5,14,CHRISTOPHER LIGHT,0031H00001rEkn2QAC,,Former GTO  ,STI,Level 5 - Outstanding,No,,HAROLD VALENTINE,0301,06,Employee,40,"40 hours, (2%)",2,0 - 40,5,3.59566,No,3.6 - 4.0
5,Total Award too Low,4.6,1,3000,   $0   , 2-3% ,2.16,3,5,DAVID LAREAU,138866,5,14,ANGELE MONTFORT,0031H00001rEl1kQAC,,Former GTO  ,STI,Level 5 - Outstanding,No,,DENNIS MURPHY,0301,05,Employee,24,"20-30 hours, (1-1.5%)",1.2,0 - 40,5,3.36036,No,3.6 - 4.0
5,Total Award too Low,4.6,1,2973, $2000-3000 , 2-3% ,2.21,3,5,JEFF LAREAU,134782,5,14,SHANE PERRY,0031H00001rEl1lQAC,,Former GTO,STI,Level 5 - Outstanding,No,,DENNIS MURPHY,0301,04,Employee,14,"10-20 hours, (0.5-1%)",0.7,0 - 40,5,2.90578,No,3.6 - 4.0
5,,4.6,,,,,,3,5,,,5,,,,,,,Level 5 - Outstanding,,,,,,Employee,,,,,5,,,
